n,e1,e1_pf,e1_n,e2,e2_pf,e2_n,e3,e3_pf,e3_n,e4,e4_pf,e4_n,total,design,oos,win_years,worst_year,ex20,rsi,dev,tov,atr,tp,stop,hold,rsi_exit
6211,-1252745.6175051478,0.9195965500537778,1622,631451.2068595606,1.039964918869094,1802,-262423.3781935839,0.9764627187616692,1397,1244008.4906805612,1.1226862471695391,1390,360290.70184138976,-621294.4106455873,981585.1124869772,13,-765581.8302409395,-1119784.2959806102,40.0,-1.5,2000000000.0,4.5,5.0,3.0,2,50.0
6203,-1294738.949709082,0.9167655994496393,1620,652999.2068595606,1.0413940646189148,1802,-271192.045267114,0.9757053701380325,1396,1142202.3243295609,1.11257659145194,1385,229270.53621292545,-641739.7428495215,871010.2790624469,13,-765581.8302409395,-1251304.4616090744,40.0,-1.5,2000000000.0,4.5,5.0,3.0,2,0.0
4948,-1107266.8763490282,0.9318704431532657,1344,77052.8630573496,1.004900139309821,1481,-97246.67053510761,0.9904857416873102,1068,2383394.57621985,1.2556331082519945,1055,1255933.8923930638,-1030214.0132916786,2286147.9056847426,14,-830601.7956504195,-280407.77131693624,40.0,-1.5,2000000000.0,4.5,5.0,3.0,3,50.0
4926,-1041042.376381028,0.9356584013945488,1339,604.7521532631363,1.0000384154835789,1478,-117261.3368196077,0.9884854592062117,1062,2337910.7433538497,1.2507888469918282,1047,1180211.782306476,-1040437.6242277648,2220649.406534242,13,-830601.7956504195,-356129.88140352396,40.0,-1.5,2000000000.0,4.5,5.0,3.0,3,0.0
3867,-2345627.3143754015,0.8575140660580163,1112,-83069.00640050462,0.9947123830331889,1184,-938266.7177833416,0.9054684554546796,795,1918489.4464217382,1.2342787659994712,776,-1448473.5921375086,-2428696.320775906,980222.7286383966,13,-964485.2493376398,-3067948.5899175084,40.0,-1.5,2000000000.0,4.5,5.0,3.0,5,50.0
3823,-2594445.3146789717,0.8422523260950859,1106,-384010.0229753958,0.975587815443178,1175,-902587.5501525123,0.9065691864508814,780,2496575.0318074576,1.318901390269406,762,-1384467.855999421,-2978455.3376543676,1593987.4816549453,12,-908038.5823879199,-3003942.853779421,40.0,-1.5,2000000000.0,4.5,5.0,3.0,5,0.0
6095,-1629155.093528694,0.8980554744944225,1583,251490.03778586275,1.0155916077916105,1770,21875.504633116885,1.0020072679017815,1369,1076139.0407876808,1.104956720347168,1373,-279650.5103220334,-1377665.0557428312,1098014.5454207975,11,-711757.3057266523,-1773825.5081440331,40.0,-1.5,2000000000.0,4.5,5.0,4.0,2,50.0
6084,-1754378.4258173283,0.8905355237343483,1581,243090.0377858628,1.0150725156715255,1769,16413.837529116936,1.0015034551746804,1367,991785.8744366807,1.0971242781299344,1367,-503088.6760656679,-1511288.3880314655,1008199.7119657976,10,-711757.3057266523,-1997263.6738876677,40.0,-1.5,2000000000.0,4.5,5.0,4.0,2,0.0
4750,-1860900.3196459652,0.8874617362095779,1283,166952.05218587746,1.0105475475676733,1421,-571931.7391634574,0.9449043602501588,1030,1767059.6029521711,1.1905184317856194,1016,-498820.40367137454,-1693948.2674600878,1195127.8637887137,13,-944181.5482691595,-1960402.0673813745,40.0,-1.5,2000000000.0,4.5,5.0,4.0,3,50.0
4728,-1767294.319742965,0.8925146377047045,1278,106423.4257543502,1.00672447288737,1418,-446585.2381366249,0.9566080854430101,1023,1489487.9369109203,1.157927006782789,1009,-617968.1952143197,-1660870.893988615,1042902.6987742954,13,-929190.5482691597,-2079549.8589243197,40.0,-1.5,2000000000.0,4.5,5.0,4.0,3,0.0
3578,-2726567.1253676005,0.8327155836465138,1011,-61337.17597145459,0.996085093607462,1093,-838596.4214973684,0.9138558056153958,743,1812474.5480139842,1.2188947535082986,731,-1814026.1748224397,-2787904.301339055,973878.1265166159,9,-1116630.1817209197,-3437156.1726024393,40.0,-1.5,2000000000.0,4.5,5.0,4.0,5,50.0
3535,-2774657.7909746007,0.8284652975580833,1004,-483831.35901514546,0.9694304714655708,1086,-925979.4199929291,0.9031804822177532,731,2213170.967215274,1.2823531542021864,714,-1971297.6027674018,-3258489.149989746,1287191.547222345,10,-1165058.5150092,-3604627.6005474017,40.0,-1.5,2000000000.0,4.5,5.0,4.0,5,0.0
6501,-2589923.9452864802,0.8362701828138925,1699,203227.25306040735,1.0130436615902771,1885,-703690.3606593551,0.9373555632209103,1462,1189052.6743291907,1.1176843452629706,1455,-1901334.3785562376,-2386696.692226073,485362.3136698357,11,-993615.8390368265,-3850984.3773872377,40.0,-1.5,2000000000.0,4.5,0.0,2.0,2,50.0
6491,-2717026.166212011,0.8283997104482866,1697,185427.25288940733,1.0119122202213535,1884,-632288.6944163752,0.9435221260810731,1460,1290047.3407691908,1.1280594313199348,1450,-1873840.266969788,-2531598.913322604,657758.6463528156,11,-973449.7679696456,-3823490.265800788,40.0,-1.5,2000000000.0,4.5,0.0,2.0,2,0.0
5323,-2067386.1170138435,0.8684164703351336,1443,5723.915485186037,1.0003709826915825,1592,-505748.72980271105,0.9513296208367387,1151,2345001.3743500137,1.2562459616575412,1137,-222409.55698135472,-2061662.2015286575,1839252.6445473027,14,-976873.1111991318,-2586448.441158495,40.0,-1.5,2000000000.0,4.5,0.0,2.0,3,50.0
5272,-2157219.721209801,0.8616871629572086,1434,-180602.3061570304,0.9883015330847437,1583,-530245.3970461314,0.9482264027143504,1135,2937227.1440998935,1.3282212186411713,1120,69159.71968693146,-2337822.027366831,2406981.747053762,13,-1045238.444345532,-2547720.8290142086,40.0,-1.5,2000000000.0,4.5,0.0,2.0,3,0.0
4286,-2040497.845666564,0.8656531299196137,1220,-158973.54730419,0.9894462477178134,1301,12299.326287201606,1.0012844299505228,899,1745763.456560674,1.2103697580546484,866,-441408.6101228772,-2199471.392970754,1758062.7828478755,13,-1096903.60126644,-3147847.494135017,40.0,-1.5,2000000000.0,4.5,0.0,2.0,5,50.0
4110,-2170510.4377033627,0.8525693157498686,1181,-318316.66054784885,0.9785027821807094,1268,294246.12738566194,1.0328966711530274,845,2294219.6258057537,1.298418768330012,816,99638.65494020423,-2488827.0982512115,2588465.7531914157,14,-974377.3827132582,-3159558.189889396,40.0,-1.5,2000000000.0,4.5,0.0,2.0,5,0.0
