signal_date,entry_date,exit_date,exit_type,ticker,name,direction,entry_open,pnl_pct,win
2025-07-14,2025-07-15,2025-07-17,STOP,4021.T,日産化学,SELL,4484.0,-3.0,False
2025-07-16,2025-07-17,2025-07-23,STOP,4182.T,三菱瓦斯化学,SELL,2510.0,-3.0,False
2025-07-17,2025-07-18,2025-07-23,STOP,4182.T,三菱瓦斯化学,SELL,2536.0,-3.0,False
2025-07-17,2025-07-18,2025-07-24,TP,4324.T,電通グループ,BUY,2888.5,5.0,True
2025-07-23,2025-07-24,2025-07-28,STOP,4021.T,日産化学,SELL,4815.0,-3.0,False
2025-07-24,2025-07-25,2025-08-01,MAXHOLD,3382.T,セブン＆アイ・ホールディングス,BUY,2010.0,0.348,True
2025-07-25,2025-07-28,2025-07-29,STOP,1803.T,清水建設,SELL,1694.5,-3.0,False
2025-07-25,2025-07-28,2025-08-04,MAXHOLD,3038.T,神戸物産,BUY,4041.0,2.425,True
2025-07-25,2025-07-28,2025-07-29,RSI,3099.T,三越伊勢丹ホールディングス,SELL,2208.5,2.536,True
2025-07-25,2025-07-28,2025-07-29,RSI,4063.T,信越化学工業,SELL,4545.0,3.366,True
2025-07-29,2025-07-30,2025-08-01,STOP,1959.T,クラフティア,SELL,6408.0,-3.0,False
2025-07-31,2025-08-01,2025-08-08,MAXHOLD,2267.T,ヤクルト本社,BUY,2432.0,-0.329,False
2025-07-31,2025-08-01,2025-08-04,STOP,3593.T,ホギメディカル,SELL,4695.0,-3.0,False
2025-08-01,2025-08-04,2025-08-12,MAXHOLD,2267.T,ヤクルト本社,BUY,2412.5,0.642,True
2025-08-01,2025-08-04,2025-08-06,STOP,3289.T,東急不動産ホールディングス,SELL,1098.5,-3.0,False
2025-08-04,2025-08-05,2025-08-13,MAXHOLD,2127.T,日本Ｍ＆Ａセンターホールディングス,SELL,758.9,2.227,True
2025-08-06,2025-08-07,2025-08-15,MAXHOLD,1878.T,大東建託,SELL,3209.65,0.652,True
2025-08-06,2025-08-07,2025-08-15,MAXHOLD,2897.T,日清食品ホールディングス,BUY,2778.5,0.504,True
2025-08-06,2025-08-07,2025-08-12,STOP,4005.T,住友化学,SELL,390.6,-3.0,False
2025-08-06,2025-08-07,2025-08-08,STOP,4203.T,住友ベークライト,SELL,4598.0,-3.0,False
2025-08-07,2025-08-08,2025-08-18,MAXHOLD,2222.T,寿スピリッツ,BUY,1930.0,-0.363,False
2025-08-07,2025-08-08,2025-08-18,MAXHOLD,2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,SELL,2600.0,0.962,True
2025-08-07,2025-08-08,2025-08-13,STOP,4203.T,住友ベークライト,SELL,4666.0,-3.0,False
2025-08-08,2025-08-12,2025-08-13,STOP,1802.T,大林組,SELL,2331.0,-3.0,False
2025-08-08,2025-08-12,2025-08-19,MAXHOLD,1812.T,鹿島建設,SELL,4200.0,-2.262,False
2025-08-08,2025-08-12,2025-08-19,MAXHOLD,1925.T,大和ハウス工業,SELL,5260.0,-1.502,False
2025-08-08,2025-08-12,2025-08-18,STOP,2371.T,カカクコム,SELL,2875.0,-3.0,False
2025-08-08,2025-08-12,2025-08-19,MAXHOLD,2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,SELL,2636.5,0.379,True
2025-08-08,2025-08-12,2025-08-19,MAXHOLD,3107.T,ダイワボウホールディングス,SELL,3085.0,-2.204,False
2025-08-08,2025-08-12,2025-08-13,STOP,4186.T,東京応化工業,SELL,4430.0,-3.0,False
2025-08-12,2025-08-13,2025-08-20,MAXHOLD,1721.T,コムシスホールディングス,SELL,3690.0,-0.407,False
2025-08-12,2025-08-13,2025-08-20,MAXHOLD,4151.T,協和キリン,SELL,2621.0,-1.106,False
2025-08-12,2025-08-13,2025-08-20,MAXHOLD,4183.T,三井化学,SELL,1769.66,0.166,True
2025-08-12,2025-08-13,2025-08-19,STOP,4186.T,東京応化工業,SELL,4550.0,-3.0,False
2025-08-13,2025-08-14,2025-08-21,MAXHOLD,1893.T,五洋建設,SELL,1055.0,-1.185,False
2025-08-13,2025-08-14,2025-08-19,STOP,2201.T,森永製菓,SELL,2589.0,-3.0,False
2025-08-13,2025-08-14,2025-08-21,MAXHOLD,2432.T,ディー・エヌ・エー,BUY,2251.5,0.688,True
2025-08-13,2025-08-14,2025-08-21,MAXHOLD,4088.T,エア・ウォーター,SELL,2438.5,-2.543,False
2025-08-13,2025-08-14,2025-08-21,STOP,4183.T,三井化学,SELL,1764.75,-3.0,False
2025-08-14,2025-08-15,2025-08-20,STOP,1605.T,ＩＮＰＥＸ,SELL,2324.5,-3.0,False
2025-08-14,2025-08-15,2025-08-20,TP,1969.T,高砂熱学工業,SELL,4395.21,5.0,True
2025-08-14,2025-08-15,2025-08-20,TP,2181.T,パーソルホールディングス,BUY,269.7,5.0,True
2025-08-14,2025-08-15,2025-08-18,STOP,2503.T,キリンホールディングス,SELL,2130.0,-3.0,False
2025-08-14,2025-08-15,2025-08-22,MAXHOLD,2607.T,不二製油,SELL,3467.0,-2.423,False
2025-08-14,2025-08-15,2025-08-22,MAXHOLD,3097.T,物語コーポレーション,SELL,4335.0,-0.807,False
2025-08-14,2025-08-15,2025-08-18,STOP,3099.T,三越伊勢丹ホールディングス,SELL,2367.0,-3.0,False
2025-08-14,2025-08-15,2025-08-22,MAXHOLD,3405.T,クラレ,BUY,1724.5,4.204,True
2025-08-14,2025-08-15,2025-08-21,STOP,3861.T,王子ホールディングス,SELL,768.0,-3.0,False
2025-08-15,2025-08-18,2025-08-25,MAXHOLD,1414.T,ショーボンドホールディングス,SELL,1315.33,1.59,True
2025-08-15,2025-08-18,2025-08-25,RSI,3405.T,クラレ,BUY,1770.0,1.949,True
2025-08-15,2025-08-18,2025-08-25,MAXHOLD,3769.T,ＧＭＯペイメントゲートウェイ,BUY,8178.0,2.054,True
2025-08-18,2025-08-19,2025-08-26,TP,3397.T,トリドールホールディングス,SELL,5350.0,5.0,True
2025-08-20,2025-08-21,2025-08-28,MAXHOLD,3086.T,Ｊ．フロント　リテイリング,SELL,2340.0,-0.043,False
2025-08-20,2025-08-21,2025-08-22,STOP,3099.T,三越伊勢丹ホールディングス,SELL,2491.5,-3.0,False
2025-08-20,2025-08-21,2025-08-22,STOP,4004.T,レゾナック・ホールディングス,SELL,3718.0,-3.0,False
2025-08-22,2025-08-25,2025-09-01,MAXHOLD,2875.T,東洋水産,SELL,10275.0,-0.73,False
2025-08-22,2025-08-25,2025-09-01,MAXHOLD,4204.T,積水化学工業,SELL,2833.0,-0.018,False
2025-08-25,2025-08-26,2025-09-02,MAXHOLD,4004.T,レゾナック・ホールディングス,SELL,3876.0,1.084,True
2025-08-26,2025-08-27,2025-09-03,MAXHOLD,3407.T,旭化成,SELL,1205.5,-0.415,False
2025-08-28,2025-08-29,2025-09-05,MAXHOLD,4182.T,三菱瓦斯化学,SELL,2680.0,-0.485,False
2025-08-28,2025-08-29,2025-09-01,TP,4369.T,トリケミカル研究所,SELL,3345.0,5.0,True
2025-08-29,2025-09-01,2025-09-08,MAXHOLD,4182.T,三菱瓦斯化学,SELL,2680.5,-1.455,False
2025-09-01,2025-09-02,2025-09-08,STOP,4023.T,クレハ,SELL,3870.0,-3.0,False
2025-09-03,2025-09-04,2025-09-11,STOP,1942.T,関電工,SELL,4020.0,-3.0,False
2025-09-03,2025-09-04,2025-09-11,MAXHOLD,2127.T,日本Ｍ＆Ａセンターホールディングス,SELL,789.3,0.253,True
2025-09-04,2025-09-05,2025-09-12,MAXHOLD,2593.T,伊藤園第１種優先株式,SELL,3680.0,4.728,True
2025-09-05,2025-09-08,2025-09-09,STOP,3086.T,Ｊ．フロント　リテイリング,SELL,2440.0,-3.0,False
2025-09-05,2025-09-08,2025-09-16,MAXHOLD,3391.T,ツルハホールディングス,SELL,2554.0,3.583,True
2025-09-08,2025-09-09,2025-09-17,MAXHOLD,1812.T,鹿島建設,SELL,4582.0,2.641,True
2025-09-10,2025-09-11,2025-09-19,MAXHOLD,1925.T,大和ハウス工業,SELL,5470.0,1.024,True
2025-09-10,2025-09-11,2025-09-12,STOP,3099.T,三越伊勢丹ホールディングス,SELL,2831.5,-3.0,False
2025-09-10,2025-09-11,2025-09-12,STOP,4004.T,レゾナック・ホールディングス,SELL,4170.0,-3.0,False
2025-09-11,2025-09-12,2025-09-22,MAXHOLD,4043.T,トクヤマ,SELL,3697.0,-2.326,False
2025-09-16,2025-09-17,2025-09-25,MAXHOLD,4182.T,三菱瓦斯化学,SELL,2811.5,1.512,True
2025-09-17,2025-09-18,2025-09-24,STOP,2502.T,アサヒグループホールディングス,BUY,1815.5,-3.0,False
2025-09-17,2025-09-18,2025-09-19,STOP,4004.T,レゾナック・ホールディングス,SELL,4985.0,-3.0,False
