clock,h,m,k,side,n,gross,net,t,t1,t2,wy,ny,roll
ロンドン,22,0,15,売,2785,-0.0010192429026630908,-0.006019242902663091,-1.8671582052233673,-1.399813246323806,-1.2475159447747153,2,11,True
ロンドン,22,15,15,買,2785,0.0008258693327694664,-0.004174130667230534,1.815354498496353,1.3053412572022354,1.2845573068845726,7,11,True
ロンドン,22,15,15,売,2785,-0.0008258693327694664,-0.0058258693327694665,-1.815354498496353,-1.3053412572022354,-1.2845573068845726,4,11,True
ロンドン,22,30,15,買,2785,-0.00028555236044605593,-0.005285552360446056,-0.666238639915306,0.649982671991204,-1.2193812313098753,5,11,True
ロンドン,22,30,15,売,2785,0.00028555236044605593,-0.004714447639553945,0.666238639915306,-0.649982671991204,1.2193812313098753,6,11,True
ロンドン,22,45,15,買,2785,0.004397951095365335,-0.0006020489046346649,4.159802773097831,6.411073650546703,-0.3779430853470488,7,11,True
ロンドン,22,45,15,売,2785,-0.004397951095365335,-0.009397951095365335,-4.159802773097831,-6.411073650546703,0.3779430853470488,4,11,True
ロンドン,23,0,15,買,2785,0.023661953376187643,0.018661953376187642,13.948793466178012,11.563199773396196,8.784522778481058,11,11,True
ロンドン,23,0,15,売,2785,-0.023661953376187643,-0.028661953376187644,-13.948793466178012,-11.563199773396196,-8.784522778481058,0,11,True
ロンドン,23,15,15,買,2785,0.004853876108601743,-0.00014612389139825703,4.4171386856139945,2.0931087921201983,4.003304142206233,10,11,True
ロンドン,23,15,15,売,2785,-0.004853876108601743,-0.009853876108601743,-4.4171386856139945,-2.0931087921201983,-4.003304142206233,1,11,True
ロンドン,23,30,15,買,2785,0.0024102164554534243,-0.002589783544546576,2.0244903474911973,1.532250950849467,1.3632884555907614,7,11,True
ロンドン,23,30,15,売,2785,-0.0024102164554534243,-0.007410216455453424,-2.0244903474911973,-1.532250950849467,-1.3632884555907614,4,11,True
