A,B,W,zin,H,n,mean,t,first,second,wy,ny,sum
US500Cash,US30Cash,168,1.5,72,612,-0.020289033338949252,-0.8922055587866888,-0.05797250761984759,0.010870137932121895,4,11,-12.416888403436943
US500Cash,US30Cash,168,2.0,6,946,-0.025222060687144734,-3.6308151082059856,-0.02782257211340895,-0.022892544439569375,1,11,-23.860069410038918
US500Cash,US30Cash,168,2.0,24,635,-0.014256320718995394,-0.8968281044313081,-0.02149876836884293,-0.008433557409600924,5,11,-9.052763656562075
US500Cash,US30Cash,168,2.0,72,446,-0.03704750711630102,-1.3838142384456404,-0.07254934435569581,-0.00844481233638375,4,11,-16.523188173870253
US500Cash,US30Cash,168,2.5,6,504,-0.01707942598711473,-1.6901048663490765,-0.016941771833475283,-0.017228456517088014,3,11,-8.608030697505823
US500Cash,US30Cash,168,2.5,24,360,-0.040946360335565805,-1.7833075241127305,-0.0400375878754585,-0.04188593864177844,2,11,-14.74068972080369
US500Cash,US30Cash,168,2.5,72,283,-0.05386037106392662,-1.5628295017791238,-0.0585075790481632,-0.049113580051456385,3,11,-15.242485011091233
US500Cash,US30Cash,336,1.5,6,966,-0.0184199467589029,-2.7971047914017984,-0.020408927293522446,-0.01670689415972189,1,11,-17.7936685691002
US500Cash,US30Cash,336,1.5,24,663,-0.0030030048953584437,-0.18712340174675476,-0.017962268692899495,0.008915758130324672,4,11,-1.9909922456226483
US500Cash,US30Cash,336,1.5,72,452,-0.016291165085830873,-0.6003928685314911,-0.03875235685459764,0.0015351775877935436,3,11,-7.363606618795555
US500Cash,US30Cash,336,2.0,6,687,-0.01011585066252873,-1.2173573117771026,-0.014477022278956517,-0.0064659931332723165,3,11,-6.949589405157238
US500Cash,US30Cash,336,2.0,24,461,-0.0035195642172958356,-0.18366347170997893,-0.015137894631567948,0.005462298910660686,4,11,-1.6225191041733802
US500Cash,US30Cash,336,2.0,72,309,-0.019450413536098724,-0.5556907957028783,-0.06013542391837623,0.013815565541175252,5,11,-6.010177782654506
US500Cash,US30Cash,336,2.5,6,342,-0.027206042555033786,-2.1988626022143434,-0.01577538138239384,-0.03702150160545288,2,11,-9.304466553821555
US500Cash,US30Cash,336,2.5,24,247,-0.04342439040399037,-1.6044322975481575,-0.014339658358415547,-0.06639711354143712,3,11,-10.725824429785622
US500Cash,US30Cash,336,2.5,72,178,-0.07753596569459666,-1.705039194204545,-0.10259811479576968,-0.05707706846914924,3,11,-13.801401893638204
US100Cash,US30Cash,24,1.5,6,3365,-0.010795045408119257,-1.4456962829262503,-0.011763486711568941,-0.010042892737910973,4,11,-36.3253277983213
US100Cash,US30Cash,24,1.5,24,2421,-0.005270155547736595,-0.3966601744763502,-0.0053727427162616765,-0.005190390634764451,5,11,-12.759046581070297
US100Cash,US30Cash,24,1.5,72,2066,-0.0067189706612037076,-0.4052778732686422,-0.00492797598269436,-0.008098665790578097,5,11,-13.88139338604686
US100Cash,US30Cash,24,2.0,6,2511,-0.012475802269121119,-1.4405871481740806,-0.019055783980020342,-0.007270952256719376,3,11,-31.32673949776313
US100Cash,US30Cash,24,2.0,24,2010,-0.016690022863113885,-1.1127891657266402,-0.023108113419866218,-0.011486165654936317,5,11,-33.546945954858906
US100Cash,US30Cash,24,2.0,72,1763,-0.02171956788112699,-1.1921522539073932,-0.03345103156814511,-0.012410776756127874,4,11,-38.29159817442688
US100Cash,US30Cash,24,2.5,6,1747,-0.005922044318731261,-0.5906277510131271,-0.009677327706185372,-0.002600218668556103,3,11,-10.345811424823513
US100Cash,US30Cash,24,2.5,24,1502,-0.00731224439976304,-0.4168065726540784,-0.02400126475646158,0.007332370963239925,4,11,-10.982991088444086
US100Cash,US30Cash,24,2.5,72,1387,-0.014742492004442744,-0.7205137955615419,-0.04677856090229481,0.012545908471965288,4,11,-20.447836410162086
US100Cash,US30Cash,72,1.5,6,2051,-0.007778758641655603,-0.7705317817315444,0.004801286938282255,-0.017831759977904184,4,11,-15.954233974035642
US100Cash,US30Cash,72,1.5,24,1343,-0.0038704143359477227,-0.177019523187776,0.04065300692471107,-0.03918004347991477,6,11,-5.197966453177791
US100Cash,US30Cash,72,1.5,72,952,-0.029950540517229018,-0.849741970256776,0.017834309323039126,-0.0662528940927377,5,11,-28.512914572402025
US100Cash,US30Cash,72,2.0,6,1417,-0.010771813636002879,-0.9476662536208905,-0.02335845858473573,-0.0004927202612043809,5,11,-15.263659922216078
US100Cash,US30Cash,72,2.0,24,968,-0.02915290718291071,-1.095437034145181,-0.0230360986956476,-0.03394046447036344,5,11,-28.220014153057566
US100Cash,US30Cash,72,2.0,72,749,-0.039195512358340866,-0.9561511776435005,-0.048919589689581586,-0.03149534585920049,5,11,-29.357438756397308
US100Cash,US30Cash,72,2.5,6,757,0.0034492159877901906,0.2294929785261852,0.0016090443551922803,0.005065644667541213,5,11,2.611056502757174
