n,mean,t,ta,tb,wy,yrs,ann,sym,rule,cost
5816,-0.02868283517650982,-7.151857614409992,-3.8251457023197357,-7.436263953789649,0.08695652173913043,23,-7.253016060286137,EURPLN.,逆張z1_1日,0.107094814583539
5816,-0.03323574685731094,-8.304847653580929,-5.30977702102738,-7.247968387558434,0.043478260869565216,23,-8.404308857483498,EURPLN.,順張z1_1日,0.107094814583539
5816,-0.026780899619410176,-4.720981877442171,-2.4836599814692217,-5.146817914274427,0.08695652173913043,23,-6.77207444289085,EURPLN.,逆張z1_3日,0.107094814583539
5816,-0.030980841977406543,-5.467259429426878,-3.4390376582615776,-5.002133725194978,0.043478260869565216,23,-7.834112040895496,EURPLN.,順張z1_3日,0.107094814583539
5816,-0.024170826788563308,-3.85453620785617,-1.6354840078694295,-4.946935833453854,0.08695652173913043,23,-6.112066460968875,EURPLN.,逆張z1_5日,0.107094814583539
5816,-0.03220277779291139,-5.136555671962761,-3.584000027917053,-4.110783793337335,0.043478260869565216,23,-8.143102419285764,EURPLN.,順張z1_5日,0.107094814583539
5816,-0.011901464713832906,-1.7737246771177175,-0.48138995076997493,-2.7302177766516307,0.30434782608695654,23,-3.00951820763705,EURPLN.,ドンチャン20,0.107094814583539
5816,-0.014358435931658784,-2.148225870543414,-0.36458122972625684,-3.683652470150199,0.08695652173913043,23,-3.630811451240324,EURPLN.,ドンチャン55,0.107094814583539
5816,-0.02292024069565371,-7.378518282329415,-3.9340982527560064,-7.902748751523729,0.08695652173913043,23,-5.795831299387911,EURPLN.,月曜買,0.107094814583539
5816,-0.024262570722424513,-7.793047705858939,-4.843248295192433,-7.210239253137224,0.13043478260869565,23,-6.135265709635695,EURPLN.,月曜売,0.107094814583539
5816,-0.025989799070496235,-8.358244420284501,-5.039617313597453,-7.969558056109615,0.0,23,-6.572029191043744,EURPLN.,火曜買,0.107094814583539
5816,-0.021314826834891994,-6.909248823688442,-3.7748189102168883,-7.262958947558093,0.0,23,-5.389870994423125,EURPLN.,火曜売,0.107094814583539
5816,-0.024619181299485284,-7.729856189210209,-4.396304109893484,-7.875255319071459,0.13043478260869565,23,-6.225441671208976,EURPLN.,水曜買,0.107094814583539
5816,-0.02260423494769627,-7.1202231035474775,-4.159950804271754,-7.087623188780332,0.043478260869565216,23,-5.715923063295716,EURPLN.,水曜売,0.107094814583539
5816,-0.017729943922420305,-5.688125904100894,-3.1716191229377557,-5.987123886229853,0.08695652173913043,23,-4.483363210991152,EURPLN.,木曜買,0.107094814583539
5816,-0.02949347232476126,-9.281307291937576,-5.406710835580249,-9.243016404544557,0.043478260869565216,23,-7.45800152351354,EURPLN.,木曜売,0.107094814583539
5816,-0.03259476786640164,-11.52453497380901,-7.649552123828329,-9.378804846495436,0.0,23,-8.24222477873878,EURPLN.,金曜買,0.107094814583539
5816,-0.01462864838077991,-5.371971379697476,-2.406494286088408,-6.154627460574491,0.08695652173913043,23,-3.6991399557659115,EURPLN.,金曜売,0.107094814583539
