A,B,W,zin,H,n,mean,t,first,second,sum
GER40Cash,EU50Cash,24,2.0,6,1796,-0.045751233158289016,-9.971677712168376,-0.04394655603121734,-0.04687976880969763,-82.16921475228708
GER40Cash,EU50Cash,24,2.0,24,1432,-0.038194929464966505,-4.891821301789831,-0.03081991546414466,-0.042862127606877715,-54.69513899383203
GER40Cash,EU50Cash,24,2.0,72,1304,-0.048406281798559075,-5.25514600022314,-0.04283071990769286,-0.051976044065792926,-63.12179146532104
GER40Cash,EU50Cash,24,2.5,6,872,-0.0425779264143703,-6.714594880841642,-0.032351637982419815,-0.04756891360129492,-37.1279518333309
GER40Cash,EU50Cash,24,2.5,24,813,-0.035783078649136636,-3.3711593742561083,-0.020669562700631337,-0.04355091924836841,-29.091642941748084
GER40Cash,EU50Cash,24,2.5,72,776,-0.041612474618292095,-3.4744698940410506,-0.025269254821682446,-0.05023448821177907,-32.291280303794665
GER40Cash,EU50Cash,72,1.5,6,1804,-0.04268142451541588,-9.53109974719811,-0.04322870043342043,-0.04232624544614417,-76.99728982581024
GER40Cash,EU50Cash,72,1.5,24,1145,-0.03695744242830909,-3.636195473899878,-0.03155642294108579,-0.04050601384249053,-42.31627158041391
GER40Cash,EU50Cash,72,1.5,72,866,-0.04339270883510086,-2.863863354602424,-0.0471405070973672,-0.040981886044003525,-37.57808585119734
GER40Cash,EU50Cash,72,2.0,6,1168,-0.042235175049724516,-7.055563158583468,-0.04368621501911388,-0.041312524985154815,-49.33068445807824
GER40Cash,EU50Cash,72,2.0,24,771,-0.050036808974763335,-3.8467618742175747,-0.06871084697675749,-0.03814251725374795,-38.57837971954253
GER40Cash,EU50Cash,72,2.0,72,623,-0.061797869532940995,-3.21350186244232,-0.07385370929213958,-0.05398389931864562,-38.50007271902224
GER40Cash,EU50Cash,72,2.5,6,567,-0.04577511809826414,-5.339712016841017,-0.045506784832615436,-0.045949066697798045,-25.95449196171577
GER40Cash,EU50Cash,72,2.5,24,431,-0.060249510655303054,-3.316667877558945,-0.06855654800349135,-0.05514706074855068,-25.967539092435615
GER40Cash,EU50Cash,72,2.5,72,395,-0.09169408827390642,-3.559941271796082,-0.09480269010633499,-0.08987137394645835,-36.21916486819303
GER40Cash,EU50Cash,168,1.5,6,1162,-0.04631232944204734,-7.772069485277059,-0.05205506697761059,-0.042616508255793766,-53.814926811659014
GER40Cash,EU50Cash,168,1.5,24,755,-0.045432081038797485,-3.3156976086637533,-0.06600921981700537,-0.03178952867703412,-34.3012211842921
GER40Cash,EU50Cash,168,1.5,72,525,-0.06356295676529598,-2.591966528820615,-0.10225757608429199,-0.04013318726939016,-33.37055230178039
GER40Cash,EU50Cash,168,2.0,6,809,-0.04040541268798287,-5.651817522719192,-0.0341377415386471,-0.04442282462143137,-32.68797886457814
GER40Cash,EU50Cash,168,2.0,24,518,-0.05376185496212231,-3.10512888495066,-0.07587279742513592,-0.039968508409960204,-27.848640870379356
GER40Cash,EU50Cash,168,2.0,72,368,-0.05375556199511353,-1.6777138013934945,-0.08376831186633538,-0.035326680495240466,-19.782046814201777
GER40Cash,EU50Cash,168,2.5,6,405,-0.0515127640837348,-5.2845673874707675,-0.047584181810804635,-0.05432602850799411,-20.862669453912595
GER40Cash,EU50Cash,168,2.5,24,273,-0.05145447617705041,-2.2705010470056064,-0.08643674481787424,-0.028556991248511188,-14.047071996334761
GER40Cash,EU50Cash,168,2.5,72,211,-0.10282697790838385,-2.2905488447829834,-0.15573776286489405,-0.06851764078814676,-21.696492338668993
GER40Cash,EU50Cash,336,1.5,6,834,-0.05149949219477975,-7.31717374387876,-0.05799444258467911,-0.04761745288127669,-42.95057649044631
